"date","precip"
"1990-01-01",161
"1990-02-01",40.4
"1990-03-01",65
"1990-04-01",83.8
"1990-05-01",42.8
"1990-06-01",53.4
"1990-07-01",43.2
"1990-08-01",37.4
"1990-09-01",10.6
"1990-10-01",1
"1990-11-01",44.6
"1990-12-01",94.6
"1991-01-01",143
"1991-02-01",25.8
"1991-03-01",204.4
"1991-04-01",247.4
"1991-05-01",33.4
"1991-06-01",36
"1991-07-01",20
"1991-08-01",27.6
"1991-09-01",8.4
"1991-10-01",24.6
"1991-11-01",96.4
"1991-12-01",192
"1992-01-01",145.2
"1992-02-01",38.8
"1992-03-01",56.6
"1992-04-01",103.6
"1992-05-01",49.8
"1992-06-01",54.2
"1992-07-01",64.4
"1992-08-01",0.4
"1992-09-01",108.2
"1992-10-01",13.6
"1992-11-01",44.8
"1992-12-01",49.2
"1993-01-01",125
"1993-02-01",5.2
"1993-03-01",80.8
"1993-04-01",113.4
"1993-05-01",81.6
"1993-06-01",52
"1993-07-01",21.4
"1993-08-01",22.2
"1993-09-01",19.8
"1993-10-01",50.8
"1993-11-01",26.6
"1993-12-01",141.6
"1994-01-01",279.2
"1994-02-01",131.2
"1994-03-01",103.2
"1994-04-01",31
"1994-05-01",18.4
"1994-06-01",14.4
"1994-07-01",0.6
"1994-08-01",17.4
"1994-09-01",20.8
"1994-10-01",57.2
"1994-11-01",161.4
"1994-12-01",221.8
"1995-01-01",91
"1995-02-01",34.8
"1995-03-01",12.4
"1995-04-01",48.8
"1995-05-01",52.8
"1995-06-01",89.2
"1995-07-01",9.8
"1995-08-01",23.4
"1995-09-01",14.6
"1995-10-01",129.8
"1995-11-01",133.2
"1995-12-01",78.2
"1996-01-01",174
"1996-02-01",106.6
"1996-03-01",78.8
"1996-04-01",48.4
"1996-05-01",10
"1996-06-01",43.8
"1996-07-01",32.4
"1996-08-01",55.2
"1996-09-01",57
"1996-10-01",21.4
"1996-11-01",85.4
"1996-12-01",82.6
"1997-01-01",99
"1997-02-01",57.2
"1997-03-01",20.6
"1997-04-01",3.2
"1997-05-01",9
"1997-06-01",112.6
"1997-07-01",1
"1997-08-01",91.2
"1997-09-01",32.4
"1997-10-01",55.2
"1997-11-01",61.8
"1997-12-01",79.2
"1998-01-01",184.4
"1998-02-01",216.8
"1998-03-01",41.8
"1998-04-01",16.8
"1998-05-01",52
"1998-06-01",121.8
"1998-07-01",91.4
"1998-08-01",15.8
"1998-09-01",55.6
"1998-10-01",55.2
"1998-11-01",326.6
"1998-12-01",62.6
"1999-01-01",77.4
"1999-02-01",131.8
"1999-03-01",47.6
"1999-04-01",195.2
"1999-05-01",240.8
"1999-06-01",87.6
"1999-07-01",3.6
"1999-08-01",4
"1999-09-01",23.4
"1999-10-01",57.4
"1999-11-01",31.4
"1999-12-01",172.2
"2000-01-01",40.2
"2000-02-01",272.4
"2000-03-01",162.2
"2000-04-01",36.4
"2000-05-01",61.2
"2000-06-01",6.2
"2000-07-01",27.8
"2000-08-01",104.6
"2000-09-01",103.6
"2000-10-01",306.4
"2000-11-01",57.8
"2000-12-01",479.8
"2001-01-01",315.8
"2001-02-01",157
"2001-03-01",149.2
"2001-04-01",100.2
"2001-05-01",69.2
"2001-06-01",10.6
"2001-07-01",12.4
"2001-08-01",76.8
"2001-09-01",18.6
"2001-10-01",117.8
"2001-11-01",15.6
"2001-12-01",132.4
"2002-01-01",343.4
"2002-02-01",162.2
"2002-03-01",118.2
"2002-04-01",149
"2002-05-01",36.4
"2002-06-01",122
"2002-07-01",51.2
"2002-08-01",0.2
"2002-09-01",5.6
"2002-10-01",21.4
"2002-11-01",116.8
"2002-12-01",50.8
"2003-01-01",281.6
"2003-02-01",250.6
"2003-03-01",172.4
"2003-04-01",104.6
"2003-05-01",44
"2003-06-01",59.4
"2003-07-01",39
"2003-08-01",0.2
"2003-09-01",13.2
"2003-10-01",22.6
"2003-11-01",104.8
"2003-12-01",19.2
"2004-01-01",143.8
"2004-02-01",15.8
"2004-03-01",164.4
"2004-04-01",14.2
"2004-05-01",28.6
"2004-06-01",16.2
"2004-07-01",14.2
"2004-08-01",93.2
"2004-09-01",27.6
"2004-10-01",5.8
"2004-11-01",142
"2004-12-01",124.4
"2005-01-01",322.4
"2005-02-01",274.8
"2005-03-01",161.4
"2005-04-01",146.2
"2005-05-01",248.8
"2005-06-01",34.6
"2005-07-01",9.2
"2005-08-01",27.6
"2005-09-01",54.2
"2005-10-01",55.8
"2005-11-01",74.2
"2005-12-01",36.2
"2006-01-01",51.4
