"date","precip"
1980-01-01,46.3
1980-02-01,20.7
1980-03-01,101.3
1980-04-01,27.2
1980-05-01,67.5
1980-06-01,34.1
1980-07-01,12
1980-08-01,95.4
1980-09-01,17
1980-10-01,31.8
1980-11-01,13.8
1980-12-01,53.6
1981-01-01,6.4
1981-02-01,5.6
1981-03-01,54.9
1981-04-01,9.8
1981-05-01,160.7
1981-06-01,108
1981-07-01,32.3
1981-08-01,67.3
1981-09-01,57.2
1981-10-01,119.1
1981-11-01,74.5
1981-12-01,7.4
1982-01-01,42.8
1982-02-01,19.5
1982-03-01,52
1982-04-01,18.6
1982-05-01,198.6
1982-06-01,210.4
1982-07-01,14.3
1982-08-01,38.6
1982-09-01,27.5
1982-10-01,10.5
1982-11-01,18.7
1982-12-01,38.4
1983-01-01,42.3
1983-02-01,31.2
1983-03-01,108.5
1983-04-01,96.4
1983-05-01,103.7
1983-06-01,187.4
1983-07-01,98
1983-08-01,35.4
1983-09-01,64.2
1983-10-01,75.6
1983-11-01,60.7
1983-12-01,28.7
1984-01-01,5.1
1984-02-01,31.3
1984-03-01,192.4
1984-04-01,94.2
1984-05-01,29.4
1984-06-01,58.6
1984-07-01,7.6
1984-08-01,19
1984-09-01,55.4
1984-10-01,70.9
1984-11-01,36.6
1984-12-01,119.9
1985-01-01,6.7
1985-02-01,52.5
1985-03-01,41.7
1985-04-01,57.9
1985-05-01,50.9
1985-06-01,121.7
1985-07-01,100.9
1985-08-01,72.7
1985-09-01,151.6
1985-10-01,141.8
1985-11-01,40.6
1985-12-01,15.6
1986-01-01,0
1986-02-01,32.1
1986-03-01,31
1986-04-01,45.8
1986-05-01,75.6
1986-06-01,137
1986-07-01,86.8
1986-08-01,152.6
1986-09-01,96.8
1986-10-01,91.8
1986-11-01,14.8
1986-12-01,31
1987-01-01,35.4
1987-02-01,84.5
1987-03-01,104.9
1987-04-01,15.5
1987-05-01,203.5
1987-06-01,114.4
1987-07-01,54.3
1987-08-01,195.5
1987-09-01,53.4
1987-10-01,22.9
1987-11-01,38.2
1987-12-01,57.2
1988-01-01,13
1988-02-01,4.6
1988-03-01,73.9
1988-04-01,113.4
1988-05-01,61.2
1988-06-01,47.2
1988-07-01,23.2
1988-08-01,28
1988-09-01,13.5
1988-10-01,24
1988-11-01,19.6
1988-12-01,12.8
1989-01-01,20.1
1989-02-01,9.9
1989-03-01,60.5
1989-04-01,5.9
1989-05-01,126
1989-06-01,202.3
1989-07-01,103.3
1989-08-01,145.2
1989-09-01,187.6
1989-10-01,9.4
1989-11-01,0
1989-12-01,11.3
1990-01-01,43.9
1990-02-01,55.6
1990-03-01,68.1
1990-04-01,20.4
1990-05-01,32.9
1990-06-01,48.5
1990-07-01,43.7
1990-08-01,51.1
1990-09-01,49.4
1990-10-01,16.3
1990-11-01,51.1
1990-12-01,19.9
1991-01-01,14.7
1991-02-01,0
1991-03-01,18.2
1991-04-01,57.8
1991-05-01,104
1991-06-01,34.1
1991-07-01,67.5
1991-08-01,192.3
1991-09-01,53
1991-10-01,25.4
1991-11-01,60.5
1991-12-01,52.6
1992-01-01,17.1
1992-02-01,12
1992-03-01,91.5
1992-04-01,36.2
1992-05-01,87.5
1992-06-01,184.4
1992-07-01,121.2
1992-08-01,49.3
1992-09-01,74.7
1992-10-01,71.2
1992-11-01,124.6
1992-12-01,29.5
1993-01-01,28.6
1993-02-01,57.2
1993-03-01,44.5
1993-04-01,53.7
1993-05-01,244.4
1993-06-01,112.9
1993-07-01,157.8
1993-08-01,33.2
1993-09-01,45.2
1993-10-01,42.7
1993-11-01,13.9
1993-12-01,7.6
1994-01-01,0.9
1994-02-01,7
1994-03-01,6.4
1994-04-01,96.4
1994-05-01,24.1
1994-06-01,69.1
1994-07-01,149.8
1994-08-01,58.4
1994-09-01,27.5
1994-10-01,87.6
1994-11-01,78.3
1994-12-01,26.5
1995-01-01,11.3
1995-02-01,10.4
1995-03-01,62.3
1995-04-01,86.5
1995-05-01,152.5
1995-06-01,226
1995-07-01,109.4
1995-08-01,140
1995-09-01,50.7
1995-10-01,7.2
1995-11-01,2.2
1995-12-01,17.5
1996-01-01,2.7
1996-02-01,2.5
1996-03-01,46.2
1996-04-01,37.6
1996-05-01,112.3
1996-06-01,52.4
1996-07-01,101
1996-08-01,133.1
1996-09-01,96.6
1996-10-01,48.3
1996-11-01,90.5
1996-12-01,0.8
1997-01-01,9.1
1997-02-01,55.5
1997-03-01,11.7
1997-04-01,96.7
1997-05-01,121.4
1997-06-01,110.6
1997-07-01,149.9
1997-08-01,110.8
1997-09-01,88.9
1997-10-01,86.2
1997-11-01,33.1
1997-12-01,67.2
1998-01-01,26.5
1998-02-01,8
1998-03-01,107.3
1998-04-01,85.7
1998-05-01,41.6
1998-06-01,10.2
1998-07-01,131.3
1998-08-01,40.2
1998-09-01,82.7
1998-10-01,239.3
1998-11-01,81.3
1998-12-01,27.1
1999-01-01,34.3
1999-02-01,10
1999-03-01,48
1999-04-01,152.9
1999-05-01,182.1
1999-06-01,191.7
1999-07-01,88.5
1999-08-01,31.8
1999-09-01,271.7
1999-10-01,4.1
1999-11-01,36.8
1999-12-01,103.2
2000-01-01,23.5
2000-02-01,69.2
2000-03-01,152.2
2000-04-01,30.7
2000-05-01,76.2
